Angle;H angle;Lv
70;20;35,25
70;20;35,28
70;20;35,3
65;25;41,53
65;25;41,56
65;25;41,56
60;30;48,86
60;30;48,89
60;30;48,91
55;35;57,2
55;35;57,21
55;35;57,22
50;40;63,91
50;40;63,94
50;40;63,94
45;45;72,99
45;45;73,02
45;45;73,03
40;50;96,72
40;50;96,76
40;50;96,75
35;55;136,47
35;55;136,46
35;55;136,43
30;60;177,21
30;60;177,25
30;60;177,28
25;65;239,17
25;65;239,2
25;65;239,26
20;70;300,22
20;70;300,26
20;70;300,41
15;75;355,18
15;75;355,28
15;75;355,37
10;80;407,48
10;80;407,54
10;80;407,65
5;85;416,82
5;85;416,98
5;85;417,11
0;90;428,63
0;90;428,74
0;90;428,77
